userId,676a45d7ad5662a59156bc75,676d693a19a1c9a22dd6c8ff,676d6a27e4c7f149ab8ae6a2,677028e711be7f43f7f92d82,67716eaaccc435d843f60395,67716f24ccc435d843f60397,67716fd4ccc435d843f60399,677173d7ccc435d843f603a1,67717430ccc435d843f603a3,677174eaccc435d843f603a7,677175a6ccc435d843f603ab,67717688ccc435d843f603af,677176f7ccc435d843f603b3,67717800ccc435d843f603b7,67717b3dccc435d843f603b9,6778b0bbccc435d843f603bf,6778b1c0ccc435d843f603c5,67809bf51df54503ee14d24f,6780a6441df54503ee14d253,6780a6a41df54503ee14d255,6780b1991df54503ee14d257,6780b1dc1df54503ee14d259,6780b22a1df54503ee14d25b,6780b3c01df54503ee14d25f,6780b4211df54503ee14d261,6780b5411df54503ee14d265
67ace7479f0fde70aa37ac14,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
67ace7489f0fde70aa37ac16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0
67ace7489f0fde70aa37ac18,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,2.0,0.0
67ace7489f0fde70aa37ac1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67ace7489f0fde70aa37ac1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0
67ace7499f0fde70aa37ac1e,2.0,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0
67ace7499f0fde70aa37ac20,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
67ace7499f0fde70aa37ac22,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0
67ace74a9f0fde70aa37ac24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
67b9943b3f0e50e15623f594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0
67a715f282fa94d233a77e8c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67b9b4f1c23083517bbc613a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
